path,guid,author,name,version,new_name,size
/mnt/e/Games/HS2/mods/MyMods/2bhsb/[2bhsb] 2bhsB v1.0.1.zipmod,com.2bhsB,2bhsb,2bhsB,1.0.1,[2bhsb] 2bhsB v1.0.1.zipmod,42.98
/mnt/e/Games/HS2/mods/MyMods/2bhsw/[2bhsw] 2bhsW v1.0.0.zipmod,com.2bhsW,2bhsw,2bhsW,1.0.0,[2bhsw] 2bhsW v1.0.0.zipmod,46.68
/mnt/e/Games/HS2/mods/MyMods/3dh9527/[3dh9527] [3dh9527] Bodystocking X3 v1.0.1.zipmod,com.3dh9527.bodystocking.X3,3dh9527,[3dh9527] Bodystocking X3,1.0.1,[3dh9527] [3dh9527] Bodystocking X3 v1.0.1.zipmod,4.35
/mnt/e/Games/HS2/mods/MyMods/3dh9527/[3dh9527] [3dh9527] Cheongsam v1.0.0.zipmod,com.3dh9527.cheongsam,3dh9527,[3dh9527] Cheongsam,1.0.0,[3dh9527] [3dh9527] Cheongsam v1.0.0.zipmod,5.22
/mnt/e/Games/HS2/mods/MyMods/3dh9527/[3dh9527] [3dh9527] NewBodystocking X3 v1.0.0.zipmod,com.3dh9527.newbodystocking.X3,3dh9527,[3dh9527] NewBodystocking X3,1.0.0,[3dh9527] [3dh9527] NewBodystocking X3 v1.0.0.zipmod,1.67
/mnt/e/Games/HS2/mods/MyMods/3dh9527/[3dh9527] [3dh9527] Tomboy as F.S.O.hair v1.0.zipmod,com.3dh9527.tomboyasfsohair,3dh9527,[3dh9527] Tomboy as F.S.O.hair,1.0,[3dh9527] [3dh9527] Tomboy as F.S.O.hair v1.0.zipmod,0.00
/mnt/e/Games/HS2/mods/MyMods/3dh9527(original mod by kinshin007)/[3dh9527(original mod by kinshin007)] 3dh9527_kinshin007_makeup skin_no-mole version v1.2.0(no-mole version).zipmod,3dh9527_kinshin007_makeup skin_no-mole version,3dh9527(original mod by kinshin007),3dh9527_kinshin007_makeup skin_no-mole version,1.2.0(no-mole version),[3dh9527(original mod by kinshin007)] 3dh9527_kinshin007_makeup skin_no-mole version v1.2.0(no-mole version).zipmod,40.29
/mnt/e/Games/HS2/mods/MyMods/4chan/[4chan] HposUnlock vv4.zipmod,HposUnlock,4chan,HposUnlock,v4,[4chan] HposUnlock vv4.zipmod,0.15
/mnt/e/Games/HS2/mods/MyMods/7f6a60/[7f6a60] a02h v1.0.zipmod,hair001.a02h,7f6a60,a02h,1.0,[7f6a60] a02h v1.0.zipmod,49.49
/mnt/e/Games/HS2/mods/MyMods/a5/[a5] a02t v1.0.0.zipmod,a.top.a02t,a5,a02t,1.0.0,[a5] a02t v1.0.0.zipmod,112.23
/mnt/e/Games/HS2/mods/MyMods/a5/[a5] A2 v1.0.0.zipmod,a.top.lq22,a5,A2,1.0.0,[a5] A2 v1.0.0.zipmod,10.16
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] Bradamante v1.0.0.zipmod,Alice.Bradamante,alice,Bradamante,1.0.0,[alice] Bradamante v1.0.0.zipmod,26.91
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] Bradamante_SP v1.0.0.zipmod,Alice.Bradamante.SP,alice,Bradamante_SP,1.0.0,[alice] Bradamante_SP v1.0.0.zipmod,35.76
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] cyjx v1.0.zipmod,cyjx,alice,cyjx,1.0,[alice] cyjx v1.0.zipmod,43.39
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] cyls v1.0.zipmod,cyls,alice,cyls,1.0,[alice] cyls v1.0.zipmod,0.03
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] cysg v1.0.zipmod,cysg,alice,cysg,1.0,[alice] cysg v1.0.zipmod,43.50
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] cysg1 v1.0.zipmod,cysg1,alice,cysg1,1.0,[alice] cysg1 v1.0.zipmod,47.05
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] fischl.jyzm v1.0.0.zipmod,Alice.fischl.jyzm,alice,fischl.jyzm,1.0.0,[alice] fischl.jyzm v1.0.0.zipmod,0.04
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] fischl.jyzm.sp v1.0.0.zipmod,Alice.fischl.jyzm.sp,alice,fischl.jyzm.sp,1.0.0,[alice] fischl.jyzm.sp v1.0.0.zipmod,0.04
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] hlmy v1.0.zipmod,hlmy,alice,hlmy,1.0,[alice] hlmy v1.0.zipmod,0.05
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] hy v1.0.zipmod,hy,alice,hy,1.0,[alice] hy v1.0.zipmod,0.05
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] hyqs v1.0.zipmod,hyqs,alice,hyqs,1.0,[alice] hyqs v1.0.zipmod,0.05
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] j v1.0.zipmod,j,alice,j,1.0,[alice] j v1.0.zipmod,25.36
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] jss v1.0.zipmod,jss,alice,jss,1.0,[alice] jss v1.0.zipmod,0.00
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] jtsl v1.0.zipmod,jtsl,alice,jtsl,1.0,[alice] jtsl v1.0.zipmod,54.55
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] kq.njpx v1.0.0.zipmod,Alice.kq.njpx,alice,kq.njpx,1.0.0,[alice] kq.njpx v1.0.0.zipmod,0.04
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] kq.njpxsp v1.0.0.zipmod,Alice.kq.njpxsp,alice,kq.njpxsp,1.0.0,[alice] kq.njpxsp v1.0.0.zipmod,0.02
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] ldjj v1.0.zipmod,ldjj,alice,ldjj,1.0,[alice] ldjj v1.0.zipmod,49.06
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] ln v1.0.zipmod,ln,alice,ln,1.0,[alice] ln v1.0.zipmod,29.69
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] ln1 v1.0.zipmod,ln1,alice,ln1,1.0,[alice] ln1 v1.0.zipmod,25.61
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] mctx v1.0.zipmod,mctx,alice,mctx,1.0,[alice] mctx v1.0.zipmod,0.03
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] mxlt v1.0.zipmod,mxlt,alice,mxlt,1.0,[alice] mxlt v1.0.zipmod,48.49
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] my v1.0.zipmod,my,alice,my,1.0,[alice] my v1.0.zipmod,26.08
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] qqzq v1.0.zipmod,qqzq,alice,qqzq,1.0,[alice] qqzq v1.0.zipmod,30.19
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] qsjad v1.0.zipmod,qsjad,alice,qsjad,1.0,[alice] qsjad v1.0.zipmod,35.47
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] qsjadb v1.0.zipmod,qsjadb,alice,qsjadb,1.0,[alice] qsjadb v1.0.zipmod,36.12
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] qszl v1.0.zipmod,qszl,alice,qszl,1.0,[alice] qszl v1.0.zipmod,0.02
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] qszy v1.0.zipmod,qszy,alice,qszy,1.0,[alice] qszy v1.0.zipmod,0.04
/mnt/e/Games/HS2/mods/MyMods/alice/[alice] qwlr v1.0.zipmod,qwlr,alice,qwlr,1.0,[alice] qwlr v1.0.zipmod,0.04
